Genotypes,Abbreviate form,DFF,FD,FL,FW,NDVI,PH,SLA,SPAD,TF,YPP,Gid
N‐236,G61,91.82,42.6,4.26,7.96,0.62,139.57,99.24,42.49,15.21,8.97,61
N‐236.1,G62,121.07,33.28,3.33,6.18,0.7,107.32,112.66,48.55,12.96,6.76,62
N‐237,G63,122.07,30.07,3.01,3.97,0.53,115.32,202.84,46.45,21.96,6.6,63
NRI‐130,G64,102.32,55.19,5.52,9.11,0.48,120.57,162.58,51.57,11.21,10.65,64
NRI‐221,G65,87.32,42.02,4.2,6.83,0.64,120.57,108.44,39.07,18.21,7.05,65
NRI‐231,G66,86.32,52.2,5.22,7.78,0.6,121.57,97.04,47.66,19.21,8.35,66
NRI‐232,G67,87.32,45.3,4.53,6.18,0.54,118.57,141.48,42.5,20.21,6.75,67
NRI‐291,G68,105.32,62.99,6.3,8.52,0.7,109.57,178.02,51.32,15.21,9.9,68
NSR‐11,G69,92.82,39.99,4,9.61,0.47,117.07,139.01,25.37,15.71,11.14,69
NSR‐117,G70,105.82,71.23,7.12,9.39,0.63,110.57,129.4,50.02,13.21,8.59,70
NSR‐13,G71,92.82,66.13,6.61,12.6,0.66,105.07,125.84,42.3,16.71,12.85,71
NSR‐17,G72,102.07,46.33,4.63,8.51,0.62,97.82,113.3,53.69,13.21,5.23,72
NSR‐26,G73,98.07,32.33,3.23,5.31,0.52,125.82,193.64,49.26,14.21,4.65,73
NSR‐27,G74,103.07,51.44,5.14,7.33,0.54,106.82,176.19,40.19,14.21,6.97,74
NSR‐28,G75,104.07,55.16,5.52,8.75,0.63,110.82,107.69,51.27,15.21,7.61,75
NSR‐53,G76,109.07,50.27,5.03,13.18,0.51,118.82,132.25,43.79,14.21,8.12,76
NTR‐23,G77,103.82,31.36,3.14,6.87,0.78,121.57,168.62,61.54,16.21,9.71,77
NTR‐7,G78,101.82,48.97,4.9,7.61,0.53,118.57,99.18,39.91,10.21,3.64,78
Potia‐1,G79,97.07,23.09,2.31,4.07,0.65,131.32,133.74,49.89,12.96,5.89,79
Potia‐2,G80,97.07,23.37,2.34,3.37,0.54,126.32,146.7,50.66,13.96,5.88,80
SU‐1,G81,109.07,68.3,6.83,11.35,0.43,128.82,91.57,27.21,14.21,6.72,81
SU‐169,G82,97.82,81.44,8.14,13.82,0.65,100.57,186.23,48.45,49.21,0.24,82
SU‐184,G83,99.82,89.67,8.97,13.38,0.64,103.57,204.28,44.07,49.21,0.24,83
SU‐185,G84,97.82,89.38,8.94,12.61,0.64,121.57,98.2,51.45,15.21,7.61,84
